Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Raporlar,Chrome 90.0.4430.212,,,2021-06-03 16:51:26,2021-06-03 16:52:24,"58,616s",PASSED
,,,,,,,
Test Cases/Case Repository/Raporlar/GIB Kullanici Listesi/Ekran Kontrolu,Chrome 90.0.4430.212,,,2021-06-03 16:51:27,2021-06-03 16:52:05,"38,515s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 90.0.4430.212,,,2021-06-03 16:51:27,2021-06-03 16:51:31,"3,542s",PASSED
"runFeatureFile(""Include/features/Raporlar/GIB Kullanici Listesi/Ekran Kontrolu.feature"")",Chrome 90.0.4430.212,,,2021-06-03 16:51:31,2021-06-03 16:52:05,"33,863s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 90.0.4430.212,,,2021-06-03 16:52:05,2021-06-03 16:52:05,"0,758s",PASSED
,,,,,,,
Test Cases/Case Repository/Raporlar/GIB Kullanici Listesi/Excel,Chrome 90.0.4430.212,,,2021-06-03 16:52:06,2021-06-03 16:52:24,"18,979s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 90.0.4430.212,,,2021-06-03 16:52:06,2021-06-03 16:52:08,"2,289s",PASSED
"runFeatureFile(""Include/features/Raporlar/GIB Kullanici Listesi/Excel.feature"")",Chrome 90.0.4430.212,,,2021-06-03 16:52:08,2021-06-03 16:52:24,"15,635s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 90.0.4430.212,,,2021-06-03 16:52:24,2021-06-03 16:52:24,"0,767s",PASSED
